2024-11-22 12:48:43,613 - 12:48:42.976; 4; 9; 96040794181600; 96093884674200; 96093976627900; 301728449; 96094380179300; 96094380626000; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:44,220 - 12:48:43.614; 4; 10; 96040794181600; 96094522491300; 96094640412700; 283150902; 96094983130700; 96094983854900; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:44,931 - 12:48:44.221; 4; 11; 96040794181600; 96095129496500; 96095258320200; 348979561; 96095674860800; 96095675952400; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:45,738 - 12:48:44.932; 4; 12; 96040794181600; 96095839872000; 96095950583600; 319246168; 96096517205400; 96096517748700; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:46,503 - 12:48:45.739; 5; 0; 96040794181600; 96096647253200; 96096772834800; 342649324; 96097254780200; 96097255356700; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:47,241 - 12:48:46.504; 5; 1; 96040794181600; 96097412112700; 96097522769400; 394363178; 96097990688700; 96097992000000; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:48,084 - 12:48:47.242; 5; 2; 96040794181600; 96098150266300; 96098279909700; 429631748; 96098859981500; 96098860884700; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:48,674 - 12:48:48.085; 5; 3; 96040794181600; 96098993447100; 96099094462200; 315587814; 96099467775100; 96099468125800; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:49,479 - 12:48:48.675; 5; 4; 96040794181600; 96099583228300; 96099716126200; 334270064; 96100123259600; 96100124369100; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:50,276 - 12:48:49.479; 5; 5; 96040794181600; 96100387211200; 96100504627100; 284872718; 96101042186000; 96101042938200; 25 (-63 dBm); 80%; b'neutral'
2024-11-22 12:48:50,922 - 12:48:50.277; 5; 6; 96040794181600; 96101185553400; 96101320046600; 271566096; 96101653030800; 96101666563300; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:51,513 - 12:48:50.923; 5; 7; 96040794181600; 96101830757000; 96101970104000; 248303772; 96102279648500; 96102285419500; 25 (-63 dBm); 80%; b'None'
2024-11-22 12:48:52,189 - 12:48:51.514; 5; 8; 96040794181600; 96102422610600; 96102548443000; 304055481; 96102922500200; 96102922926900; 25 (-63 dBm); 80%; b'neutral'
2024-11-22 12:48:52,961 - 12:48:52.190; 5; 9; 96040794181600; 96103098078200; 96103209747600; 306472082; 96103604811800; 96103605562400; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:53,740 - 12:48:52.962; 5; 10; 96040794181600; 96103870105500; 96103998067400; 283794216; 96104499838200; 96104500597800; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:54,630 - 12:48:53.741; 5; 11; 96040794181600; 96104649457200; 96104787474700; 349877656; 96105304519800; 96105311406600; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:55,450 - 12:48:54.631; 5; 12; 96040794181600; 96105539522600; 96105639837900; 327900245; 96106216811600; 96106217751100; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:56,499 - 12:48:55.451; 6; 0; 96040794181600; 96106359267300; 96106477843700; 361387265; 96107077059200; 96107078423200; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:57,399 - 12:48:56.501; 6; 1; 96040794181600; 96107409335800; 96107527582500; 401490395; 96108156506000; 96108157325100; 25 (-63 dBm); 80%; b'happy'
2024-11-22 12:48:58,380 - 12:48:57.400; 6; 2; 96040794181600; 96108308298700; 96108413661200; 464936436; 96109116389500; 96109120533300; 25 (-63 dBm); 80%; b'happy'
