2024-12-03 08:54:04,313 - 08:54:03.808; 5; 7; 154911; 4263744495820; 1733212443886388614; 1.733212443905784e+18; 248876151; 1733212444232351121; 1733212444290356105; -56; 54/70; None; 53
2024-12-03 08:54:04,875 - 08:54:04.313; 5; 8; 159371; 4263744495820; 1733212444391863927; 1.7332124444107958e+18; 303408654; 1733212444792426742; 1733212444850375971; -56; 54/70; neutral; 56
2024-12-03 08:54:05,439 - 08:54:04.875; 5; 9; 136689; 4263744495820; 1733212444955662060; 1.7332124449700375e+18; 308876271; 1733212445355579189; 1733212445414519291; -56; 54/70; happy; 54
2024-12-03 08:54:05,994 - 08:54:05.439; 5; 10; 149083; 4263744495820; 1733212445520455168; 1.7332124455338578e+18; 297864386; 1733212445910211742; 1733212445970568954; -56; 54/70; happy; 54
2024-12-03 08:54:06,602 - 08:54:05.995; 6; 0; 140544; 4263744495820; 1733212446077001308; 1.7332124460911877e+18; 348459885; 1733212446517874907; 1733212446578109800; 63/70; -47; happy; 54
2024-12-03 08:54:07,254 - 08:54:06.602; 6; 1; 135250; 4263744495820; 1733212446678452721; 1.73321244669551e+18; 402200644; 1733212447171444793; 1733212447231581774; -56; 54/70; happy; 54
2024-12-03 08:54:07,949 - 08:54:07.255; 6; 2; 142603; 4263744495820; 1733212447335845177; 1.7332124473519665e+18; 435290245; 1733212447865720860; 1733212447926038688; -56; 54/70; happy; 54
2024-12-03 08:54:08,542 - 08:54:07.950; 6; 3; 139179; 4263744495820; 1733212448027077624; 1.7332124480484332e+18; 333200132; 1733212448458258639; 1733212448518809051; -56; 54/70; happy; 54
2024-12-03 08:54:09,162 - 08:54:08.542; 6; 4; 150641; 4263744495820; 1733212448624391094; 1.733212448639471e+18; 362398398; 1733212449078989629; 1733212449139111708; -56; 54/70; happy; 54
2024-12-03 08:54:09,724 - 08:54:09.163; 6; 5; 153171; 4263744495820; 1733212449244370982; 1.7332124492634424e+18; 298185470; 1733212449640652443; 1733212449700380663; -56; 54/70; neutral; 56
2024-12-03 08:54:10,281 - 08:54:09.724; 6; 6; 160830; 4263744495820; 1733212449803272217; 1.7332124498254226e+18; 296066808; 1733212450197777808; 1733212450257042771; -56; 54/70; happy; 54
